"Time (ISO-YMD)","B Field - ECF x (mGauss)","B Field - ECF y (mGauss)","B Field - ECF z (mGauss)"
2019-11-16T17:00:00.000,65.647,59.752,297.271
2019-11-16T17:00:30.000,46.134,40.636,306.858
2019-11-16T17:01:00.000,26.778,19.808,314.203
2019-11-16T17:01:30.000,7.821,-2.524,319.204
2019-11-16T17:02:00.000,-10.505,-26.132,321.798
2019-11-16T17:02:30.000,-27.986,-50.776,321.961
2019-11-16T17:03:00.000,-44.427,-76.207,319.710
2019-11-16T17:03:30.000,-59.655,-102.176,315.094
2019-11-16T17:04:00.000,-73.523,-128.438,308.196
2019-11-16T17:04:30.000,-85.909,-154.762,299.128
2019-11-16T17:05:00.000,-96.717,-180.927,288.020
2019-11-16T17:05:30.000,-105.874,-206.733,275.023
2019-11-16T17:06:00.000,-113.330,-232.001,260.299
2019-11-16T17:06:30.000,-119.052,-256.571,244.014
2019-11-16T17:07:00.000,-123.026,-280.306,226.339
2019-11-16T17:07:30.000,-125.250,-303.087,207.442
2019-11-16T17:08:00.000,-125.732,-324.813,187.487
2019-11-16T17:08:30.000,-124.487,-345.397,166.631
2019-11-16T17:09:00.000,-121.535,-364.761,145.026
2019-11-16T17:09:30.000,-116.901,-382.839,122.814
2019-11-16T17:10:00.000,-110.610,-399.565,100.136
2019-11-16T17:10:30.000,-102.691,-414.877,77.125
2019-11-16T17:11:00.000,-93.176,-428.714,53.915
2019-11-16T17:11:30.000,-82.102,-441.012,30.640
2019-11-16T17:12:00.000,-69.509,-451.707,7.435
2019-11-16T17:12:30.000,-55.447,-460.731,-15.558
2019-11-16T17:13:00.000,-39.978,-468.020,-38.194
2019-11-16T17:13:30.000,-23.176,-473.508,-60.320
2019-11-16T17:14:00.000,-5.131,-477.136,-81.776
2019-11-16T17:14:30.000,14.049,-478.854,-102.398
2019-11-16T17:15:00.000,34.236,-478.622,-122.020
2019-11-16T17:15:30.000,55.281,-476.417,-140.472
2019-11-16T17:16:00.000,77.018,-472.236,-157.591
2019-11-16T17:16:30.000,99.258,-466.100,-173.221
2019-11-16T17:17:00.000,121.800,-458.057,-187.220
2019-11-16T17:17:30.000,144.430,-448.184,-199.461
2019-11-16T17:18:00.000,166.930,-436.585,-209.843
2019-11-16T17:18:30.000,189.081,-423.394,-218.292
2019-11-16T17:19:00.000,210.672,-408.769,-224.763
2019-11-16T17:19:30.000,231.506,-392.891,-229.244
2019-11-16T17:20:00.000,251.405,-375.953,-231.755
2019-11-16T17:20:30.000,270.215,-358.161,-232.348
2019-11-16T17:21:00.000,287.812,-339.718,-231.100
2019-11-16T17:21:30.000,304.099,-320.826,-228.116
2019-11-16T17:22:00.000,319.010,-301.676,-223.518
2019-11-16T17:22:30.000,332.505,-282.440,-217.440
2019-11-16T17:23:00.000,344.571,-263.274,-210.028
2019-11-16T17:23:30.000,355.213,-244.311,-201.427
2019-11-16T17:24:00.000,364.454,-225.662,-191.784
2019-11-16T17:24:30.000,372.327,-207.421,-181.240
2019-11-16T17:25:00.000,378.876,-189.660,-169.930
2019-11-16T17:25:30.000,384.147,-172.436,-157.981
2019-11-16T17:26:00.000,388.193,-155.795,-145.513
2019-11-16T17:26:30.000,391.069,-139.770,-132.635
2019-11-16T17:27:00.000,392.830,-124.388,-119.451
2019-11-16T17:27:30.000,393.539,-109.668,-106.055
2019-11-16T17:28:00.000,393.258,-95.620,-92.532
2019-11-16T17:28:30.000,392.054,-82.251,-78.958
2019-11-16T17:29:00.000,389.999,-69.560,-65.400
2019-11-16T17:29:30.000,387.164,-57.537,-51.910
2019-11-16T17:30:00.000,383.619,-46.168,-38.531
2019-11-16T17:30:30.000,379.434,-35.432,-25.289
2019-11-16T17:31:00.000,374.672,-25.304,-12.199
2019-11-16T17:31:30.000,369.384,-15.755,0.739
2019-11-16T17:32:00.000,363.616,-6.757,13.539
2019-11-16T17:32:30.000,357.395,1.716,26.222
2019-11-16T17:33:00.000,350.736,9.682,38.816
2019-11-16T17:33:30.000,343.642,17.152,51.356
2019-11-16T17:34:00.000,336.100,24.127,63.873
2019-11-16T17:34:30.000,328.087,30.595,76.396
2019-11-16T17:35:00.000,319.574,36.531,88.947
2019-11-16T17:35:30.000,310.525,41.899,101.538
2019-11-16T17:36:00.000,300.904,46.652,114.167
2019-11-16T17:36:30.000,290.673,50.732,126.819
2019-11-16T17:37:00.000,279.805,54.078,139.464
2019-11-16T17:37:30.000,268.274,56.622,152.056
2019-11-16T17:38:00.000,256.067,58.298,164.535
2019-11-16T17:38:30.000,243.182,59.040,176.826
2019-11-16T17:39:00.000,229.630,58.788,188.842
2019-11-16T17:39:30.000,215.433,57.489,200.483
2019-11-16T17:40:00.000,200.631,55.100,211.645
2019-11-16T17:40:30.000,185.276,51.587,222.214
2019-11-16T17:41:00.000,169.437,46.933,232.074
2019-11-16T17:41:30.000,153.197,41.133,241.110
2019-11-16T17:42:00.000,136.653,34.196,249.210
2019-11-16T17:42:30.000,119.913,26.149,256.270
2019-11-16T17:43:00.000,103.099,17.034,262.195
2019-11-16T17:43:30.000,86.339,6.908,266.905
2019-11-16T17:44:00.000,69.768,-4.158,270.338
2019-11-16T17:44:30.000,53.521,-16.079,272.447
2019-11-16T17:45:00.000,37.734,-28.760,273.208
2019-11-16T17:45:30.000,22.536,-42.097,272.617
2019-11-16T17:46:00.000,8.049,-55.981,270.687
2019-11-16T17:46:30.000,-5.614,-70.300,267.451
2019-11-16T17:47:00.000,-18.356,-84.941,262.959
2019-11-16T17:47:30.000,-30.092,-99.792,257.273
2019-11-16T17:48:00.000,-40.750,-114.747,250.465
2019-11-16T17:48:30.000,-50.273,-129.704,242.614
2019-11-16T17:49:00.000,-58.617,-144.568,233.804
2019-11-16T17:49:30.000,-65.746,-159.248,224.122
2019-11-16T17:50:00.000,-71.634,-173.661,213.653
2019-11-16T17:50:30.000,-76.261,-187.726,202.485
2019-11-16T17:51:00.000,-79.613,-201.365,190.703
2019-11-16T17:51:30.000,-81.680,-214.500,178.395
2019-11-16T17:52:00.000,-82.456,-227.053,165.648
2019-11-16T17:52:30.000,-81.943,-238.945,152.556
2019-11-16T17:53:00.000,-80.146,-250.093,139.215
2019-11-16T17:53:30.000,-77.084,-260.413,125.729
2019-11-16T17:54:00.000,-72.786,-269.822,112.208
2019-11-16T17:54:30.000,-67.297,-278.238,98.767
2019-11-16T17:55:00.000,-60.680,-285.584,85.529
2019-11-16T17:55:30.000,-53.018,-291.793,72.619
2019-11-16T17:56:00.000,-44.415,-296.812,60.160
2019-11-16T17:56:30.000,-34.995,-300.603,48.271
2019-11-16T17:57:00.000,-24.900,-303.150,37.064
2019-11-16T17:57:30.000,-14.288,-304.458,26.634
2019-11-16T17:58:00.000,-3.326,-304.557,17.060
2019-11-16T17:58:30.000,7.812,-303.504,8.395
2019-11-16T17:59:00.000,18.955,-301.374,0.670
2019-11-16T17:59:30.000,29.942,-298.266,-6.114
2019-11-16T18:00:00.000,40.624,-294.295,-11.980
2019-11-16T18:00:30.000,50.872,-289.584,-16.982
2019-11-16T18:01:00.000,60.586,-284.265,-21.194
2019-11-16T18:01:30.000,69.690,-278.468,-24.710
2019-11-16T18:02:00.000,78.142,-272.316,-27.637
2019-11-16T18:02:30.000,85.926,-265.921,-30.092
2019-11-16T18:03:00.000,93.057,-259.380,-32.191
2019-11-16T18:03:30.000,99.575,-252.770,-34.046
2019-11-16T18:04:00.000,105.538,-246.147,-35.760
2019-11-16T18:04:30.000,111.020,-239.545,-37.417
2019-11-16T18:05:00.000,116.104,-232.980,-39.084
2019-11-16T18:05:30.000,120.874,-226.447,-40.807
2019-11-16T18:06:00.000,125.411,-219.931,-42.607
2019-11-16T18:06:30.000,129.786,-213.403,-44.485
2019-11-16T18:07:00.000,134.058,-206.832,-46.424
2019-11-16T18:07:30.000,138.272,-200.186,-48.390
2019-11-16T18:08:00.000,142.455,-193.434,-50.338
2019-11-16T18:08:30.000,146.620,-186.557,-52.215
2019-11-16T18:09:00.000,150.765,-179.544,-53.969
2019-11-16T18:09:30.000,154.878,-172.393,-55.549
2019-11-16T18:10:00.000,158.941,-165.118,-56.911
2019-11-16T18:10:30.000,162.933,-157.740,-58.020
2019-11-16T18:11:00.000,166.834,-150.290,-58.852
2019-11-16T18:11:30.000,170.629,-142.802,-59.392
2019-11-16T18:12:00.000,174.312,-135.314,-59.636
2019-11-16T18:12:30.000,177.884,-127.862,-59.589
2019-11-16T18:13:00.000,181.358,-120.477,-59.258
2019-11-16T18:13:30.000,184.755,-113.183,-58.655
2019-11-16T18:14:00.000,188.105,-105.995,-57.790
2019-11-16T18:14:30.000,191.442,-98.920,-56.669
2019-11-16T18:15:00.000,194.807,-91.952,-55.291
2019-11-16T18:15:30.000,198.239,-85.076,-53.648
2019-11-16T18:16:00.000,201.775,-78.271,-51.719
2019-11-16T18:16:30.000,205.449,-71.506,-49.472
2019-11-16T18:17:00.000,209.287,-64.747,-46.862
2019-11-16T18:17:30.000,213.303,-57.954,-43.828
2019-11-16T18:18:00.000,217.499,-51.087,-40.300
2019-11-16T18:18:30.000,221.860,-44.108,-36.190
2019-11-16T18:19:00.000,226.350,-36.981,-31.403
2019-11-16T18:19:30.000,230.910,-29.676,-25.833
2019-11-16T18:20:00.000,235.456,-22.174,-19.370
2019-11-16T18:20:30.000,239.874,-14.466,-11.905
2019-11-16T18:21:00.000,244.021,-6.561,-3.332
2019-11-16T18:21:30.000,247.725,1.513,6.439
2019-11-16T18:22:00.000,250.790,9.705,17.478
2019-11-16T18:22:30.000,252.997,17.943,29.827
2019-11-16T18:23:00.000,254.113,26.125,43.492
2019-11-16T18:23:30.000,253.899,34.127,58.439
2019-11-16T18:24:00.000,252.122,41.802,74.587
2019-11-16T18:24:30.000,248.563,48.981,91.808
2019-11-16T18:25:00.000,243.032,55.483,109.927
2019-11-16T18:25:30.000,235.374,61.117,128.724
2019-11-16T18:26:00.000,225.479,65.690,147.941
2019-11-16T18:26:30.000,213.292,69.014,167.291
2019-11-16T18:27:00.000,198.810,70.912,186.463
2019-11-16T18:27:30.000,182.092,71.229,205.133
2019-11-16T18:28:00.000,163.251,69.831,222.975
2019-11-16T18:28:30.000,142.456,66.613,239.672
2019-11-16T18:29:00.000,119.923,61.504,254.923
2019-11-16T18:29:30.000,95.913,54.467,268.448
2019-11-16T18:30:00.000,70.720,45.501,280.003
2019-11-16T18:30:30.000,44.666,34.640,289.378
2019-11-16T18:31:00.000,18.093,21.955,296.403
2019-11-16T18:31:30.000,-8.648,7.550,300.953
2019-11-16T18:32:00.000,-35.206,-8.440,302.950
2019-11-16T18:32:30.000,-61.233,-25.849,302.362
2019-11-16T18:33:00.000,-86.402,-44.489,299.205
2019-11-16T18:33:30.000,-110.406,-64.154,293.539
2019-11-16T18:34:00.000,-132.971,-84.622,285.467
2019-11-16T18:34:30.000,-153.858,-105.667,275.133
2019-11-16T18:35:00.000,-172.875,-127.061,262.710
2019-11-16T18:35:30.000,-189.870,-148.584,248.400
2019-11-16T18:36:00.000,-204.739,-170.031,232.422
2019-11-16T18:36:30.000,-217.424,-191.216,215.006
2019-11-16T18:37:00.000,-227.908,-211.976,196.381
2019-11-16T18:37:30.000,-236.208,-232.178,176.773
2019-11-16T18:38:00.000,-242.373,-251.715,156.395
2019-11-16T18:38:30.000,-246.472,-270.508,135.442
2019-11-16T18:39:00.000,-248.589,-288.505,114.087
2019-11-16T18:39:30.000,-248.811,-305.674,92.481
2019-11-16T18:40:00.000,-247.228,-322.003,70.754
2019-11-16T18:40:30.000,-243.921,-337.488,49.014
2019-11-16T18:41:00.000,-238.962,-352.137,27.353
2019-11-16T18:41:30.000,-232.411,-365.956,5.848
2019-11-16T18:42:00.000,-224.313,-378.951,-15.432
2019-11-16T18:42:30.000,-214.704,-391.121,-36.422
2019-11-16T18:43:00.000,-203.608,-402.457,-57.058
2019-11-16T18:43:30.000,-191.041,-412.937,-77.274
2019-11-16T18:44:00.000,-177.018,-422.532,-96.997
2019-11-16T18:44:30.000,-161.551,-431.197,-116.148
2019-11-16T18:45:00.000,-144.659,-438.879,-134.634
2019-11-16T18:45:30.000,-126.367,-445.513,-152.357
2019-11-16T18:46:00.000,-106.713,-451.027,-169.204
2019-11-16T18:46:30.000,-85.754,-455.345,-185.054
2019-11-16T18:47:00.000,-63.565,-458.385,-199.778
2019-11-16T18:47:30.000,-40.243,-460.071,-213.239
2019-11-16T18:48:00.000,-15.914,-460.330,-225.298
2019-11-16T18:48:30.000,9.272,-459.100,-235.818
2019-11-16T18:49:00.000,35.138,-456.335,-244.664
2019-11-16T18:49:30.000,61.481,-452.008,-251.716
2019-11-16T18:50:00.000,88.079,-446.112,-256.866
2019-11-16T18:50:30.000,114.691,-438.669,-260.031
2019-11-16T18:51:00.000,141.066,-429.724,-261.149
2019-11-16T18:51:30.000,166.948,-419.350,-260.191
2019-11-16T18:52:00.000,192.085,-407.647,-257.156
2019-11-16T18:52:30.000,216.234,-394.733,-252.078
2019-11-16T18:53:00.000,239.169,-380.747,-245.022
2019-11-16T18:53:30.000,260.687,-365.843,-236.082
2019-11-16T18:54:00.000,280.609,-350.181,-225.381
2019-11-16T18:54:30.000,298.790,-333.929,-213.066
2019-11-16T18:55:00.000,315.113,-317.253,-199.300
2019-11-16T18:55:30.000,329.495,-300.314,-184.264
2019-11-16T18:56:00.000,341.884,-283.268,-168.144
2019-11-16T18:56:30.000,352.257,-266.260,-151.134
2019-11-16T18:57:00.000,360.621,-249.424,-133.426
2019-11-16T18:57:30.000,367.008,-232.881,-115.208
2019-11-16T18:58:00.000,371.474,-216.741,-96.662
2019-11-16T18:58:30.000,374.093,-201.099,-77.959
2019-11-16T18:59:00.000,374.961,-186.038,-59.255
2019-11-16T18:59:30.000,374.187,-171.628,-40.695
2019-11-16T19:00:00.000,371.892,-157.924,-22.403
2019-11-16T19:00:30.000,368.207,-144.969,-4.488
2019-11-16T19:01:00.000,363.270,-132.792,12.960
2019-11-16T19:01:30.000,357.220,-121.409,29.874
2019-11-16T19:02:00.000,350.197,-110.822,46.203
2019-11-16T19:02:30.000,342.334,-101.022,61.918
2019-11-16T19:03:00.000,333.756,-91.986,77.008
2019-11-16T19:03:30.000,324.576,-83.684,91.481
2019-11-16T19:04:00.000,314.890,-76.076,105.359
2019-11-16T19:04:30.000,304.775,-69.117,118.679
2019-11-16T19:05:00.000,294.286,-62.760,131.488
2019-11-16T19:05:30.000,283.454,-56.958,143.837
2019-11-16T19:06:00.000,272.286,-51.670,155.783
2019-11-16T19:06:30.000,260.766,-46.859,167.379
2019-11-16T19:07:00.000,248.854,-42.504,178.667
2019-11-16T19:07:30.000,236.495,-38.592,189.682
2019-11-16T19:08:00.000,223.619,-35.129,200.437
2019-11-16T19:08:30.000,210.150,-32.136,210.929
2019-11-16T19:09:00.000,196.012,-29.647,221.127
2019-11-16T19:09:30.000,181.136,-27.713,230.979
2019-11-16T19:10:00.000,165.469,-26.395,240.408
2019-11-16T19:10:30.000,148.979,-25.763,249.317
2019-11-16T19:11:00.000,131.662,-25.889,257.589
2019-11-16T19:11:30.000,113.544,-26.844,265.096
2019-11-16T19:12:00.000,94.687,-28.694,271.703
2019-11-16T19:12:30.000,75.185,-31.493,277.277
2019-11-16T19:13:00.000,55.164,-35.281,281.690
2019-11-16T19:13:30.000,34.777,-40.082,284.830
2019-11-16T19:14:00.000,14.199,-45.898,286.602
2019-11-16T19:14:30.000,-6.378,-52.714,286.935
2019-11-16T19:15:00.000,-26.756,-60.493,285.786
2019-11-16T19:15:30.000,-46.733,-69.183,283.136
2019-11-16T19:16:00.000,-66.112,-78.714,278.995
2019-11-16T19:16:30.000,-84.709,-89.003,273.398
2019-11-16T19:17:00.000,-102.353,-99.957,266.405
2019-11-16T19:17:30.000,-118.892,-111.476,258.094
2019-11-16T19:18:00.000,-134.196,-123.457,248.561
2019-11-16T19:18:30.000,-148.157,-135.794,237.913
2019-11-16T19:19:00.000,-160.689,-148.383,226.268
2019-11-16T19:19:30.000,-171.731,-161.125,213.750
2019-11-16T19:20:00.000,-181.240,-173.925,200.482
2019-11-16T19:20:30.000,-189.192,-186.695,186.589
2019-11-16T19:21:00.000,-195.582,-199.354,172.193
2019-11-16T19:21:30.000,-200.415,-211.831,157.406
2019-11-16T19:22:00.000,-203.708,-224.062,142.339
2019-11-16T19:22:30.000,-205.484,-235.989,127.091
2019-11-16T19:23:00.000,-205.770,-247.561,111.757
2019-11-16T19:23:30.000,-204.595,-258.731,96.422
2019-11-16T19:24:00.000,-201.984,-269.455,81.168
2019-11-16T19:24:30.000,-197.964,-279.684,66.076
2019-11-16T19:25:00.000,-192.558,-289.372,51.224
2019-11-16T19:25:30.000,-185.789,-298.464,36.693
2019-11-16T19:26:00.000,-177.684,-306.900,22.570
2019-11-16T19:26:30.000,-168.276,-314.614,8.946
2019-11-16T19:27:00.000,-157.610,-321.534,-4.079
2019-11-16T19:27:30.000,-145.745,-327.584,-16.402
2019-11-16T19:28:00.000,-132.761,-332.687,-27.914
2019-11-16T19:28:30.000,-118.760,-336.769,-38.505
2019-11-16T19:29:00.000,-103.869,-339.762,-48.069
2019-11-16T19:29:30.000,-88.242,-341.609,-56.510
2019-11-16T19:30:00.000,-72.055,-342.269,-63.743
2019-11-16T19:30:30.000,-55.507,-341.721,-69.705
2019-11-16T19:31:00.000,-38.809,-339.964,-74.354
2019-11-16T19:31:30.000,-22.184,-337.025,-77.679
2019-11-16T19:32:00.000,-5.854,-332.952,-79.696
2019-11-16T19:32:30.000,9.964,-327.822,-80.455
2019-11-16T19:33:00.000,25.071,-321.729,-80.035
2019-11-16T19:33:30.000,39.286,-314.792,-78.545
2019-11-16T19:34:00.000,52.463,-307.142,-76.118
2019-11-16T19:34:30.000,64.486,-298.922,-72.906
2019-11-16T19:35:00.000,75.281,-290.280,-69.078
2019-11-16T19:35:30.000,84.812,-281.365,-64.807
2019-11-16T19:36:00.000,93.086,-272.321,-60.267
2019-11-16T19:36:30.000,100.146,-263.281,-55.626
2019-11-16T19:37:00.000,106.071,-254.365,-51.038
2019-11-16T19:37:30.000,110.972,-245.674,-46.639
2019-11-16T19:38:00.000,114.978,-237.291,-42.541
2019-11-16T19:38:30.000,118.240,-229.277,-38.828
2019-11-16T19:39:00.000,120.915,-221.670,-35.557
2019-11-16T19:39:30.000,123.159,-214.492,-32.755
2019-11-16T19:40:00.000,125.126,-207.740,-30.422
2019-11-16T19:40:30.000,126.955,-201.402,-28.531
2019-11-16T19:41:00.000,128.768,-195.448,-27.035
2019-11-16T19:41:30.000,130.668,-189.841,-25.869
2019-11-16T19:42:00.000,132.732,-184.540,-24.956
2019-11-16T19:42:30.000,135.019,-179.501,-24.212
2019-11-16T19:43:00.000,137.562,-174.679,-23.551
2019-11-16T19:43:30.000,140.377,-170.036,-22.888
2019-11-16T19:44:00.000,143.462,-165.538,-22.148
2019-11-16T19:44:30.000,146.808,-161.155,-21.258
2019-11-16T19:45:00.000,150.393,-156.867,-20.162
2019-11-16T19:45:30.000,154.197,-152.656,-18.807
2019-11-16T19:46:00.000,158.197,-148.511,-17.154
2019-11-16T19:46:30.000,162.375,-144.420,-15.168
2019-11-16T19:47:00.000,166.720,-140.375,-12.818
2019-11-16T19:47:30.000,171.224,-136.362,-10.073
2019-11-16T19:48:00.000,175.885,-132.366,-6.896
2019-11-16T19:48:30.000,180.700,-128.364,-3.246
2019-11-16T19:49:00.000,185.665,-124.326,0.931
2019-11-16T19:49:30.000,190.766,-120.212,5.701
2019-11-16T19:50:00.000,195.973,-115.976,11.142
2019-11-16T19:50:30.000,201.235,-111.567,17.344
2019-11-16T19:51:00.000,206.470,-106.928,24.401
2019-11-16T19:51:30.000,211.565,-102.004,32.411
2019-11-16T19:52:00.000,216.368,-96.744,41.464
2019-11-16T19:52:30.000,220.691,-91.109,51.635
2019-11-16T19:53:00.000,224.312,-85.073,62.976
2019-11-16T19:53:30.000,226.977,-78.633,75.503
2019-11-16T19:54:00.000,228.416,-71.809,89.191
2019-11-16T19:54:30.000,228.350,-64.650,103.968
2019-11-16T19:55:00.000,226.505,-57.234,119.709
2019-11-16T19:55:30.000,222.627,-49.666,136.240
2019-11-16T19:56:00.000,216.498,-42.075,153.336
2019-11-16T19:56:30.000,207.946,-34.615,170.731
2019-11-16T19:57:00.000,196.858,-27.452,188.125
2019-11-16T19:57:30.000,183.184,-20.761,205.197
2019-11-16T19:58:00.000,166.944,-14.717,221.615
2019-11-16T19:58:30.000,148.227,-9.489,237.049
2019-11-16T19:59:00.000,127.185,-5.234,251.183
2019-11-16T19:59:30.000,104.029,-2.091,263.727
2019-11-16T20:00:00.000,79.018,-0.175,274.422
2019-11-16T20:00:30.000,52.453,0.423,283.050
2019-11-16T20:01:00.000,24.660,-0.363,289.433
2019-11-16T20:01:30.000,-4.012,-2.572,293.442
2019-11-16T20:02:00.000,-33.207,-6.216,294.990
2019-11-16T20:02:30.000,-62.565,-11.286,294.036
2019-11-16T20:03:00.000,-91.735,-17.750,290.581
2019-11-16T20:03:30.000,-120.373,-25.555,284.666
2019-11-16T20:04:00.000,-148.154,-34.630,276.372
2019-11-16T20:04:30.000,-174.774,-44.888,265.812
2019-11-16T20:05:00.000,-199.956,-56.227,253.134
2019-11-16T20:05:30.000,-223.451,-68.534,238.511
2019-11-16T20:06:00.000,-245.044,-81.685,222.145
2019-11-16T20:06:30.000,-264.561,-95.547,204.253
2019-11-16T20:07:00.000,-281.865,-109.987,185.070
2019-11-16T20:07:30.000,-296.864,-124.867,164.836
2019-11-16T20:08:00.000,-309.505,-140.056,143.795
2019-11-16T20:08:30.000,-319.780,-155.426,122.184
2019-11-16T20:09:00.000,-327.717,-170.861,100.227
2019-11-16T20:09:30.000,-333.377,-186.256,78.135
2019-11-16T20:10:00.000,-336.849,-201.524,56.091
2019-11-16T20:10:30.000,-338.244,-216.591,34.259
2019-11-16T20:11:00.000,-337.683,-231.401,12.772
2019-11-16T20:11:30.000,-335.294,-245.914,-8.262
2019-11-16T20:12:00.000,-331.204,-260.105,-28.761
2019-11-16T20:12:30.000,-325.531,-273.961,-48.663
2019-11-16T20:13:00.000,-318.380,-287.479,-67.928
2019-11-16T20:13:30.000,-309.841,-300.663,-86.528
2019-11-16T20:14:00.000,-299.983,-313.519,-104.444
2019-11-16T20:14:30.000,-288.857,-326.053,-121.660
2019-11-16T20:15:00.000,-276.495,-338.267,-138.163
2019-11-16T20:15:30.000,-262.913,-350.155,-153.932
2019-11-16T20:16:00.000,-248.113,-361.702,-168.939
2019-11-16T20:16:30.000,-232.089,-372.877,-183.144
2019-11-16T20:17:00.000,-214.829,-383.639,-196.495
2019-11-16T20:17:30.000,-196.326,-393.927,-208.924
2019-11-16T20:18:00.000,-176.578,-403.668,-220.352
2019-11-16T20:18:30.000,-155.596,-412.774,-230.685
2019-11-16T20:19:00.000,-133.410,-421.143,-239.819
2019-11-16T20:19:30.000,-110.075,-428.666,-247.644
2019-11-16T20:20:00.000,-85.669,-435.227,-254.044
2019-11-16T20:20:30.000,-60.302,-440.711,-258.906
2019-11-16T20:21:00.000,-34.110,-445.003,-262.118
2019-11-16T20:21:30.000,-7.261,-448.000,-263.581
2019-11-16T20:22:00.000,20.053,-449.608,-263.210
2019-11-16T20:22:30.000,47.613,-449.751,-260.934
2019-11-16T20:23:00.000,75.184,-448.371,-256.707
2019-11-16T20:23:30.000,102.515,-445.434,-250.504
2019-11-16T20:24:00.000,129.347,-440.928,-242.329
2019-11-16T20:24:30.000,155.416,-434.863,-232.209
2019-11-16T20:25:00.000,180.462,-427.276,-220.204
2019-11-16T20:25:30.000,204.234,-418.225,-206.396
2019-11-16T20:26:00.000,226.494,-407.792,-190.898
2019-11-16T20:26:30.000,247.020,-396.078,-173.846
2019-11-16T20:27:00.000,265.618,-383.202,-155.400
2019-11-16T20:27:30.000,282.120,-369.300,-135.740
2019-11-16T20:28:00.000,296.388,-354.520,-115.061
2019-11-16T20:28:30.000,308.320,-339.019,-93.574
2019-11-16T20:29:00.000,317.851,-322.962,-71.492
2019-11-16T20:29:30.000,324.952,-306.517,-49.034
2019-11-16T20:30:00.000,329.631,-289.849,-26.416
2019-11-16T20:30:30.000,331.932,-273.119,-3.844
2019-11-16T20:31:00.000,331.931,-256.481,18.488
2019-11-16T20:31:30.000,329.733,-240.078,40.404
2019-11-16T20:32:00.000,325.468,-224.038,61.746
2019-11-16T20:32:30.000,319.281,-208.474,82.383
2019-11-16T20:33:00.000,311.335,-193.482,102.204
2019-11-16T20:33:30.000,301.796,-179.142,121.124
2019-11-16T20:34:00.000,290.834,-165.514,139.084
2019-11-16T20:34:30.000,278.615,-152.644,156.044
2019-11-16T20:35:00.000,265.297,-140.559,171.986
2019-11-16T20:35:30.000,251.030,-129.274,186.909
2019-11-16T20:36:00.000,235.945,-118.789,200.827
2019-11-16T20:36:30.000,220.159,-109.094,213.766
2019-11-16T20:37:00.000,203.769,-100.169,225.757
2019-11-16T20:37:30.000,186.853,-91.986,236.839
2019-11-16T20:38:00.000,169.469,-84.513,247.048
2019-11-16T20:38:30.000,151.654,-77.716,256.416
2019-11-16T20:39:00.000,133.428,-71.560,264.968
2019-11-16T20:39:30.000,114.795,-66.014,272.716
2019-11-16T20:40:00.000,95.748,-61.053,279.659
2019-11-16T20:40:30.000,76.272,-56.660,285.779
2019-11-16T20:41:00.000,56.353,-52.829,291.041
2019-11-16T20:41:30.000,35.981,-49.563,295.393
2019-11-16T20:42:00.000,15.156,-46.880,298.768
2019-11-16T20:42:30.000,-6.100,-44.807,301.087
2019-11-16T20:43:00.000,-27.749,-43.382,302.265
2019-11-16T20:43:30.000,-49.724,-42.648,302.218
2019-11-16T20:44:00.000,-71.932,-42.654,300.863
2019-11-16T20:44:30.000,-94.254,-43.449,298.130
2019-11-16T20:45:00.000,-116.547,-45.078,293.965
2019-11-16T20:45:30.000,-138.646,-47.579,288.334
2019-11-16T20:46:00.000,-160.374,-50.981,281.230
2019-11-16T20:46:30.000,-181.543,-55.300,272.667
2019-11-16T20:47:00.000,-201.964,-60.537,262.689
2019-11-16T20:47:30.000,-221.451,-66.682,251.365
2019-11-16T20:48:00.000,-239.829,-73.705,238.784
2019-11-16T20:48:30.000,-256.936,-81.568,225.059
2019-11-16T20:49:00.000,-272.631,-90.215,210.316
2019-11-16T20:49:30.000,-286.792,-99.583,194.693
2019-11-16T20:50:00.000,-299.320,-109.600,178.338
2019-11-16T20:50:30.000,-310.143,-120.185,161.403
2019-11-16T20:51:00.000,-319.208,-131.256,144.038
2019-11-16T20:51:30.000,-326.486,-142.724,126.394
2019-11-16T20:52:00.000,-331.971,-154.504,108.613
2019-11-16T20:52:30.000,-335.675,-166.510,90.832
2019-11-16T20:53:00.000,-337.625,-178.660,73.178
2019-11-16T20:53:30.000,-337.863,-190.874,55.763
2019-11-16T20:54:00.000,-336.442,-203.078,38.692
2019-11-16T20:54:30.000,-333.421,-215.205,22.055
2019-11-16T20:55:00.000,-328.863,-227.190,5.928
2019-11-16T20:55:30.000,-322.831,-238.975,-9.618
2019-11-16T20:56:00.000,-315.386,-250.504,-24.527
2019-11-16T20:56:30.000,-306.585,-261.725,-38.745
2019-11-16T20:57:00.000,-296.480,-272.585,-52.222
2019-11-16T20:57:30.000,-285.118,-283.027,-64.910
2019-11-16T20:58:00.000,-272.543,-292.993,-76.758
2019-11-16T20:58:30.000,-258.799,-302.420,-87.709
2019-11-16T20:59:00.000,-243.934,-311.235,-97.704
2019-11-16T20:59:30.000,-228.002,-319.362,-106.674
2019-11-16T21:00:00.000,-211.072,-326.718,-114.549
2019-11-16T21:00:30.000,-193.228,-333.213,-121.252
2019-11-16T21:01:00.000,-174.574,-338.759,-126.710
2019-11-16T21:01:30.000,-155.240,-343.267,-130.855
